#{"t_start": 1773065962.3345978, "env_id": "None"}
r,l,t
-26.771436,400,19.007926
-26.855914,400,19.087618
-26.781727,400,19.166254
-25.842143,400,19.24492
-26.130362,400,19.324008
-25.980335,400,19.404503
-26.793022,400,19.483294
-26.170569,400,19.562048
-26.230243,400,19.64086
-26.322049,400,19.721358
-26.208088,400,19.800122
-26.020814,400,19.878809
-26.195321,400,19.957282
-26.426797,400,20.03702
-26.271085,400,20.115504
-26.760169,400,20.194233
-26.762163,400,20.272336
-26.337063,400,20.35312
-26.563607,400,20.431649
-26.613424,400,20.510472
-26.840041,400,20.608501
-26.524563,400,20.701844
-26.1271,400,20.788692
-26.065676,400,20.87071
-26.442961,400,20.950434
-26.446418,400,21.030719
-26.379143,400,21.109166
-26.492161,400,21.188645
-26.300442,400,21.267636
-27.153266,400,21.348295
-26.302314,400,21.427342
-26.590567,400,21.50575
-26.341761,400,21.584508
-26.181293,400,21.664442
-26.525112,400,21.743261
-26.226876,400,21.822035
-26.912716,400,21.900331
-26.798555,400,21.980045
-26.253348,400,22.058621
-26.522014,400,22.13729
-26.70021,400,22.216081
-26.326066,400,22.29596
-26.557393,400,22.374693
-26.615965,400,22.453643
-26.887557,400,22.532526
-26.369178,400,22.612762
-27.193837,400,22.69118
-26.754576,400,22.769795
-27.024983,400,22.848586
-26.850243,400,22.928797
-26.649913,400,23.008267
-26.573407,400,23.086672
-27.502615,400,23.165608
-27.608495,400,23.245817
-26.994137,400,23.324924
-27.084915,400,23.404045
-27.314487,400,23.482803
-27.364214,400,23.577756
-27.559219,400,23.666218
-26.965692,400,23.747733
-27.178118,400,23.844987
-27.236462,400,23.928435
-27.283421,400,24.009292
-27.734563,400,24.088684
-27.752299,400,24.168277
-27.728839,400,24.248782
-27.671135,400,24.327368
-27.94248,400,24.406168
-28.445444,400,24.484627
-28.279716,400,24.564344
-28.380809,400,24.649183
-28.147287,400,24.728123
-28.990237,400,24.807047
-28.359515,400,24.886947
-27.997298,400,24.966041
-28.434726,400,25.044802
-28.416627,400,25.122922
-28.761814,400,25.202613
-28.611288,400,25.282052
-29.213515,400,25.360619
-28.93232,400,25.438555
-28.803868,400,25.518298
-28.798147,400,25.597183
-29.051632,400,25.676023
-28.953917,400,25.755285
-29.210221,400,25.834727
-28.633819,400,25.913718
-28.692058,400,25.992973
-29.274938,400,26.071562
-28.986092,400,26.15165
-28.740159,400,26.230705
-28.591066,400,26.309313
-28.640775,400,26.388347
-28.590872,400,26.468647
-28.604061,400,26.547883
-27.989341,400,26.62672
-28.225071,400,26.70524
-28.087053,400,26.785215
-28.257829,400,26.864243
-27.697293,400,26.942755
-27.757073,400,27.021258
-27.946353,400,27.1006
-27.326094,400,27.179352
-27.649432,400,27.258173
-28.080169,400,27.336919
-27.269685,400,27.417638
-27.218803,400,27.496459
-27.058604,400,27.575666
-27.252518,400,27.654464
-27.062645,400,27.734574
-26.924166,400,27.813213
-27.093239,400,27.892197
-27.065961,400,27.970865
-27.344392,400,28.051197
-26.749997,400,28.130695
-27.126072,400,28.21005
-27.068876,400,28.289062
-26.943053,400,28.369741
-26.726615,400,28.449704
-26.89781,400,28.531746
-27.244188,400,28.623517
-27.299742,400,28.864369
-26.952026,400,28.977237
-27.837021,400,29.08688
-26.974674,400,29.190804
-26.893496,400,29.286167
-27.098726,400,29.368091
-26.70956,400,29.448924
-26.70002,400,29.528635
-27.090887,400,29.609083
-27.183233,400,29.688567
-27.000459,400,29.767184
-26.913725,400,29.846807
-27.694123,400,29.927078
-27.274334,400,30.006731
-27.281361,400,30.08683
-27.659969,400,30.166052
-27.472976,400,30.246535
-27.156552,400,30.326276
-27.36517,400,30.405909
-27.759131,400,30.485623
-27.085423,400,30.568233
-27.080681,400,30.649634
-27.012716,400,30.729812
-26.992278,400,30.810263
-27.180102,400,30.891345
-26.803357,400,30.971339
-26.630281,400,31.050826
-26.75927,400,31.130675
-27.220743,400,31.211463
-26.593697,400,31.291291
-26.707938,400,31.371236
-27.476582,400,31.450742
-26.824044,400,31.53109
-26.600649,400,31.610933
-26.976704,400,31.690001
-27.033001,400,31.76949
-26.841755,400,31.850406
-26.773364,400,31.929972
-26.543622,400,32.009567
-26.53018,400,32.089447
-26.377251,400,32.170231
-26.472233,400,32.249962
-26.500303,400,32.329349
-26.919576,400,32.409205
-27.942417,400,32.489848
-26.863285,400,32.568903
-26.282103,400,32.648622
-26.40949,400,32.728663
-26.795673,400,32.80981
-26.765996,400,32.889455
-26.340615,400,32.968769
-26.724778,400,33.048379
-26.341849,400,33.129467
-26.652119,400,33.209282
-26.857598,400,33.28899
-26.399403,400,33.368125
-26.378186,400,33.449119
-26.522139,400,33.52941
-26.615873,400,33.609328
-27.070628,400,33.688928
-26.822109,400,33.769236
-27.226411,400,33.848752
-27.058586,400,33.932833
-26.74706,400,34.013308
-27.347858,400,34.094548
-27.002273,400,34.174433
-26.539578,400,34.254516
-26.995907,400,34.334028
-27.108281,400,34.529849
-26.798002,400,34.612376
-26.809204,400,34.693918
-27.092501,400,34.775159
-27.451314,400,34.856324
-26.7807,400,34.936301
-27.139324,400,35.016089
-26.74997,400,35.095541
-26.957972,400,35.176176
-27.359167,400,35.255812
-26.822628,400,35.335195
-26.908453,400,35.415102
-26.725787,400,35.496114
-27.200084,400,35.576284
-26.981338,400,35.656594
-26.824139,400,35.736221
-27.890603,400,35.817327
-27.123769,400,35.896546
-27.508849,400,35.977006
-26.867807,400,36.057208
-27.53738,400,36.138875
-26.958807,400,36.218466
-27.321572,400,36.297607
-27.876417,400,36.377548
-27.191389,400,36.458564
-26.953915,400,36.538744
-26.950721,400,36.618406
-27.421683,400,36.698105
-27.231582,400,36.779092
-26.98988,400,36.859327
-27.240665,400,36.938762
-27.177418,400,37.018887
-28.158039,400,37.099697
-26.985881,400,37.179719
-27.391037,400,37.259752
-27.047767,400,37.339176
-28.181353,400,37.420126
-27.534434,400,37.500192
-27.294238,400,37.580248
-27.59633,400,37.660678
-27.736794,400,37.742015
-27.828802,400,37.821795
-27.924272,400,37.901295
-28.064873,400,37.9811
-28.121146,400,38.061791
-28.550479,400,38.141633
-28.422364,400,38.221357
-29.148911,400,38.300701
-28.549874,400,38.381676
-28.825021,400,38.461778
-28.40467,400,38.541989
-29.093783,400,38.621834
-29.210166,400,38.703167
-29.421552,400,38.783333
-29.396335,400,38.86452
-29.853284,400,38.945701
-29.296152,400,39.027296
-29.816625,400,39.107386
-29.72778,400,39.187396
-30.243162,400,39.267566
-29.991539,400,39.348737
-30.166918,400,39.429024
-30.352801,400,39.508751
-30.420934,400,39.58888
-30.781857,400,39.670574
-31.13874,400,39.750793
-30.852339,400,39.830346
-30.407516,400,39.910682
