#{"t_start": 1773066004.011172, "env_id": "None"}
r,l,t
-28.576485,400,26.759469
-28.648037,400,26.882829
-29.167527,400,27.005569
-28.130352,400,27.05198
-27.364997,400,27.174329
-26.769066,400,27.300079
-26.763958,400,27.422624
-26.627911,400,27.544627
-26.018,400,27.592259
-26.189066,400,27.715264
-26.555382,400,27.837603
-26.442554,400,27.959721
-26.152298,400,28.00568
-26.010798,400,28.128531
-26.007364,400,28.251973
-26.16934,400,28.3757
-26.113576,400,28.499554
-26.982674,400,28.546899
-27.409836,400,28.670076
-26.847004,400,28.808589
-26.845135,400,28.931564
-26.578699,400,29.055389
-25.973413,400,29.101615
-25.906008,400,29.224258
-25.556233,400,29.346731
-25.668559,400,29.469995
-26.087515,400,29.516701
-25.900827,400,29.639324
-26.46716,400,29.761653
-26.749881,400,29.884613
-26.57192,400,30.007115
-26.845066,400,30.054665
-26.680297,400,30.176894
-26.529784,400,30.300073
-25.973059,400,30.423087
-25.799485,400,30.469418
-25.996837,400,30.592924
-25.871763,400,30.715808
-26.261227,400,30.840141
-26.140908,400,30.963709
-26.362358,400,31.01043
-26.481838,400,31.132707
-27.209269,400,31.254599
-27.203565,400,31.376948
-27.309535,400,31.43499
-26.286523,400,31.575481
-26.332236,400,31.700027
-26.098009,400,31.823043
-25.813311,400,31.945831
-25.87801,400,31.992079
-26.019183,400,32.114444
-25.749221,400,32.239056
-26.292912,400,32.363001
-26.776433,400,32.485715
-27.18523,400,32.533745
-26.828975,400,32.657415
-26.260761,400,32.780621
-26.008148,400,32.903495
-26.066233,400,32.950417
-25.949356,400,33.073578
-25.877814,400,33.197211
-25.689245,400,33.320138
-26.146815,400,33.442739
-26.17792,400,33.489999
-26.421453,400,33.612961
-26.755208,400,33.736062
-26.480527,400,33.858488
-26.224454,400,33.905427
-26.278075,400,34.028539
-25.89216,400,34.155546
-26.060206,400,34.279691
-25.917472,400,34.403434
-26.169518,400,34.450188
-26.009909,400,34.574374
-26.134036,400,34.697191
-26.551561,400,34.820072
-26.424255,400,34.867236
-26.860849,400,34.989292
-26.251058,400,35.111863
-26.403587,400,35.23387
-25.808137,400,35.35569
-26.21515,400,35.402556
-26.100951,400,35.526063
-25.813793,400,35.64817
-25.73618,400,35.770813
-25.924997,400,35.894436
-26.479653,400,35.941688
-26.444079,400,36.065666
-26.792157,400,36.188656
-26.836872,400,36.311454
-26.326342,400,36.358561
-26.023872,400,36.481984
-26.038273,400,36.604637
-26.150298,400,36.726752
-25.90859,400,36.848851
-25.932228,400,36.895468
-25.940667,400,37.01838
-26.662929,400,37.140928
-26.695648,400,37.268512
-26.939165,400,37.315681
-26.926978,400,37.439301
-26.649766,400,37.564002
-26.549263,400,37.688739
-26.491467,400,37.812035
-26.016065,400,37.85907
-25.743752,400,37.982837
-25.937665,400,38.105788
-25.649166,400,38.228858
-25.963858,400,38.275968
-26.264242,400,38.398632
-26.29627,400,38.521933
-26.906651,400,38.644502
-26.839182,400,38.765975
-26.670299,400,38.812458
-26.453638,400,38.934906
-26.171042,400,39.060734
-26.143528,400,39.186039
-26.069133,400,39.308891
-26.058954,400,39.355717
-26.551221,400,39.478838
-26.046832,400,39.602167
-26.272415,400,39.725386
-26.577066,400,39.771684
-26.6675,400,39.894883
-27.583812,400,40.018011
-27.462557,400,40.141104
-27.659415,400,40.263965
-27.047658,400,40.311364
-26.947689,400,40.433969
-26.713781,400,40.558231
-26.261005,400,40.681184
-26.194025,400,40.727916
-26.298296,400,40.850377
-25.844859,400,40.973272
-26.225095,400,41.096641
-25.930856,400,41.221278
-26.168274,400,41.268371
-26.238929,400,41.390786
-26.074131,400,41.513849
-25.805386,400,41.636428
-25.948576,400,41.682169
-25.905429,400,41.804745
-25.849068,400,41.926923
-25.995887,400,42.053478
-26.223388,400,42.177114
-26.549428,400,42.224625
-26.018429,400,42.349374
-26.065312,400,42.471919
-25.873196,400,42.594439
-25.929176,400,42.717281
-26.082316,400,42.76445
-25.760141,400,42.887821
-25.813225,400,43.011271
-26.001191,400,43.133922
-25.965811,400,43.180274
-26.501556,400,43.303598
-26.356918,400,43.426336
-26.27049,400,43.550275
-26.070003,400,43.673485
-25.881656,400,43.720899
-25.966763,400,43.843931
-25.84503,400,43.966714
-26.05079,400,44.090003
-26.067536,400,44.137579
-25.933493,400,44.261285
-25.994266,400,44.384672
-26.159217,400,44.50843
-26.838149,400,44.632683
-26.508208,400,44.680326
-26.210276,400,44.803106
-25.799247,400,44.925327
-26.146196,400,45.049331
-26.232599,400,45.096354
-26.103669,400,45.218976
-26.043317,400,45.342311
-26.376581,400,45.465287
